location_id,countryname,assisted,origin,destination
4743,"Kosovo",18,19,20
160,"Afghanistan",199,179,170
168,"Angola",4,,6
43,"Albania",36,37,18
156,"United Arab Emirates",,,94
97,"Argentina",32,17,51
105,"Antigua & Barbuda",,,16
75,"Austria",4,,
34,"Azerbaijan",71,31,52
175,"Burundi",,1,
76,"Belgium",7,,6
201,"Burkina Faso",,1,
161,"Bangladesh",15,26,10
45,"Bulgaria",20,67,1
44,"Bosnia & Herzegovina",,1,1
57,"Belarus",142,141,36
108,"Belize",,,1
121,"Bolivia",16,32,
135,"Brazil",,18,1
101,"Canada",,,1
94,"Switzerland",20,,34
98,"Chile",1,,1
6,"China",,16,87
202,"Cameroon",,2,
170,"Congo",,35,
125,"Colombia",23,34,3
126,"Costa Rica",4,,7
77,"Cyprus",,,7
47,"Czech Republic",26,13,25
81,"Germany",69,1,92
177,"Djibouti",17,,16
110,"Dominica",,1,
78,"Denmark",22,,27
111,"Dominican Republic",49,10,46
122,"Ecuador",1,4,2
141,"Egypt",100,4,103
178,"Eritrea",,3,
92,"Spain",23,,35
58,"Estonia",3,5,
179,"Ethiopia",44,122,
79,"Finland",2,,8
80,"France",2,,11
95,"United Kingdom",13,,37
35,"Georgia",3,8,1
207,"Ghana",20,21,21
206,"Gambia",,1,
82,"Greece",18,1,32
128,"Guatemala",58,48,19
113,"Guyana",,3,2
129,"Honduras",,5,1
114,"Haiti",656,709,658
48,"Hungary",20,48,
11,"Indonesia",83,103,148
163,"India",53,53,87
84,"Ireland",2,,6
142,"Iran",,2,4
143,"Iraq",36,19,65
85,"Israel",,,6
86,"Italy",6,,20
115,"Jamaica",,15,5
144,"Jordan",10,,16
67,"Japan",34,,18
36,"Kazakhstan",141,76,265
180,"Kenya",2,2,2
37,"Kyrgyzstan",202,213,32
10,"Cambodia",122,258,16
23,"Kiribati",,,1
12,"Laos",195,359,
146,"Lebanon",9,,15
210,"Liberia",,2,
147,"Libya",,,13
17,"Sri Lanka",7,15,
194,"Lesotho",,2,1
60,"Lithuania",4,10,2
59,"Latvia",,1,
148,"Morocco",10,,3
61,"Moldova",98,100,17
181,"Madagascar",,1,
130,"Mexico",6,9,6
49,"Macedonia",,2,4
211,"Mali",32,14,19
15,"Myanmar",,42,
50,"Montenegro",1,,2
38,"Mongolia",,1,
184,"Mozambique",,,2
183,"Mauritius",24,,48
182,"Malawi",,1,
13,"Malaysia",38,,82
214,"Nigeria",35,65,10
131,"Nicaragua",18,24,7
89,"Netherlands",33,,55
90,"Norway",6,,3
164,"Nepal",113,116,81
165,"Pakistan",3,29,5
132,"Panama",,,1
123,"Peru",5,9,5
16,"Philippines",24,62,
51,"Poland",9,3,148
91,"Portugal",1,,13
136,"Paraguay",,3,
52,"Romania",21,90,2
62,"Russian Federation",,16,837
185,"Rwanda",,2,
152,"Saudi Arabia",,,1
188,"Sudan",,1,
216,"Senegal",1,19,2
69,"Singapore",,,2
127,"El Salvador",25,35,18
187,"Somalia",,74,
53,"Serbia",31,27,16
54,"Slovakia",26,28,3
55,"Slovenia",,,1
93,"Sweden",,,1
197,"Swaziland",,1,
153,"Syria",18,,36
204,"Chad",,1,1
18,"Thailand",260,64,449
39,"Tajikistan",62,58,5
40,"Turkmenistan",50,48,
19,"Timor Leste",2,1,2
119,"Trinidad and Tobago",,,1
155,"Turkey",35,38,101
189,"Tanzania",47,53,47
190,"Uganda",45,31,34
63,"Ukraine",814,835,87
102,"USA",65,,71
41,"Uzbekistan",204,292,36
133,"Venezuela",,2,
20,"Vietnam",102,104,1
157,"Yemen",513,378,552
196,"South Africa",13,1,21
191,"Zambia",14,16,7
198,"Zimbabwe",5,5,
